CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
MJIC,MJC Investments Corporation,O,2.56,"3,174,405,821","8,126,478,902",Holding Firms,Holding Firms,January-December,"39,000,000",,"4,865,000,000",,"6,063,000,000","840,000,000",,"1,571,000,000","5,441,000,000","622,000,000","622,000,000","679,128,900","-585,231,800",,"-583,389,800","-583,389,800","315,261,258","-111,280,000","-226,846,100","-351,182,400",,"-1,131,476,913",,,"469,505,900"
MPI,Metro Pacific Investments Corporation,O,3.35,"31,569,338,752","105,757,284,819",Holding Firms,Holding Firms,January-December,"59,944,000,000","84,160,000,000","74,007,000,000","155,124,000,000","602,647,000,000","15,110,000,000","63,734,000,000","230,389,000,000","351,971,000,000","180,606,000,000","250,676,000,000","88,278,000,000","28,958,000,000","11,375,000,000","13,446,000,000","21,849,000,000","11,848,000,000","36,345,000,000","-48,843,000,000","-47,833,000,000","53,302,000,000","-16,759,000,000","-14,000,000","-3,493,000,000","20,482,000,000"
MRC,"MRC Allied, Inc.",O,0.249,"8,512,658,975","2,119,652,085",Property,Property,January-December,"1,000,000","583,000,000","5,000,000",,"1,334,000,000","25,000,000","864,000,000",,"874,000,000","460,000,000","460,000,000",,"-38,170,300",,"-59,129,800","-59,129,800","1,300,000","-17,500,000",,"4,000,000","13,600,000",,,,"13,600,000"
MRP,Melco Resorts and Entertainment (Philippines) Corporation,O,7.25,"5,687,270,800","41,232,713,300",Services,Casinos & Gaming,January-December,"7,644,100,000","10,618,500,000","21,174,500,000",,"34,100,500,000","2,023,500,000","10,772,100,000","14,651,000,000","25,698,800,000","8,401,700,000","8,401,700,000","32,579,800,000","4,878,500,000",,"2,416,800,000","2,416,800,000","4,004,600,000","11,919,900,000","-1,791,800,000","-2,030,000,000",,"-9,375,800,000",,,"-9,714,400,000"
MRSGI,"Metro Retail Stores Group, Inc.",O,2.06,"3,429,375,000","7,064,512,500",Services,Retail,January-December,"2,656,000,000","8,197,000,000","4,280,000,000",,"13,626,000,000","370,000,000","3,972,000,000","12,000,000","4,471,000,000","9,155,000,000","9,155,000,000","35,543,000,000","850,000,000",,"1,168,000,000","1,168,000,000","488,224,500","1,528,951,600","-1,916,530,200","-1,115,041,600",,"-14,016,600",,"-205,754,100","-219,770,600"
MVC,Mabuhay Vinyl Corporation,O,3.18,"661,309,398","2,102,963,886",Industrial,Chemicals,January-December,"1,175,000,000","1,874,000,000","900,000,000","30,000,000","2,834,000,000",,"268,000,000",,"404,000,000","2,421,000,000","2,430,000,000","2,433,424,400","498,946,300",,"373,068,400","373,755,000","67,574,600","604,723,800","-101,992,900","-301,923,000",,,,"-44,285,300","-44,285,300"
MWC,"Manila Water Company, Inc.",O,10.4,"2,064,839,617","21,474,332,017",Industrial,"Electricity, Energy, Power & Water",January-December,"5,934,000,000","10,692,000,000","4,577,000,000","16,433,000,000","127,895,000,000","11,437,000,000","20,897,000,000","47,832,000,000","70,517,000,000","56,139,000,000","57,378,000,000","21,550,000,000","9,544,000,000","738,000,000","6,003,000,000","6,142,000,000","2,889,000,000","919,000,000","-1,215,000,000","-1,093,000,000","12,583,000,000","-14,454,000,000",,"-2,218,000,000","-5,207,000,000"
MWIDE,Megawide Construction Corporation,O,15,"2,056,724,017","30,850,860,255",Industrial,"Construction, Infra. & Allied Services",January-December,"6,335,000,000","28,000,000,000","6,128,000,000","7,158,000,000","74,737,000,000","9,687,000,000","21,695,000,000","33,654,000,000","56,303,000,000","14,776,000,000","18,434,000,000","16,940,000,000","2,456,000,000","10,200,000","1,651,000,000","1,863,000,000","1,460,000,000","-2,331,000,000","-4,089,000,000","-5,786,000,000","7,664,300,000","-3,616,800,000","-1,006,100,000","-553,000,000","7,753,000,000"
NI,"NiHAO Mineral Resources International, Inc.",O,1.04,"1,010,000,000","1,050,400,000",Mining and Oil,Mining,January-December,"110,304,300","110,320,600","603,592,800",,"919,197,500",,"26,481,700",,"26,482,300","867,148,100","892,715,100",,"40,420,500",,"-43,552,100","-43,598,800","-100,000","-1,879,169",,,,,,,
NIKL,Nickel Asia Corporation,O,3.17,"13,651,538,117","43,275,375,831",Mining and Oil,Mining,January-December,"15,799,000,000","22,537,000,000","14,955,000,000","4,075,000,000","47,143,000,000","1,592,000,000","9,911,000,000","1,245,000,000","12,381,000,000","30,766,000,000","34,762,000,000","16,986,000,000","4,921,000,000","-353,000,000","1,391,000,000","2,330,000,000","1,379,000,000","3,595,000,000","-1,331,000,000","-1,299,000,000","-1,489,000,000","-111,000,000","-33,000,000","-2,213,000,000","-2,372,000,000"
NOW,Now Corporation,O,2.55,"1,672,572,468","4,265,059,793",Services,Information Technology,January-December,"5,000,000","631,000,000","11,000,000","1,338,000,000","1,981,000,000","66,000,000","318,000,000","47,000,000","579,000,000","1,404,000,000","1,401,000,000","245,074,400","9,679,300",,"10,660,800","11,287,300","8,323,500","16,236,600","-6,332,400","-148,193,400","107,966,463","-194,700",,,"127,630,700"
NRCP,National Reinsurance Corporation of the Philippines,O,0.85,"2,123,605,600","1,805,064,760",Financials,Other Financial Institutions,January-December,,,"73,000,000",,"9,453,000,000",,,,"4,134,000,000","5,319,000,000","5,319,000,000","3,359,979,900","385,402,700",,"214,902,800","214,902,800","11,793,000","282,737,000","-14,297,500","-623,703,000",,,,,
NXGEN,NextGenesis Corporation,S,7,"104,013,225","728,092,575",Financials,Banks,July-June,,,100,,"123,610,000",,,,"66,877,700","56,732,300","56,732,300",,"-2,689,600",,"-2,689,600","-2,689,600",,"-400,000",,,"400,000",,,,"400,000"
OM,Omico Corporation,O,0.45,"1,050,461,673","472,707,753",Mining and Oil,Mining,January-December,"386,313,200","498,326,500","6,725,700","155,814,900","735,790,800",,"16,982,400",,"28,154,700","707,636,100","707,636,100","28,769,500","3,983,900",,"-4,920,800","-4,920,800","1,904,000","7,925,300","-1,459,400","676,300",,"-1,391,500",,,"-1,391,500"
OPM-AB,Oriental Petroleum and Minerals Corporation,O,0.0105,"200,000,000,000","2,100,000,000",Mining and Oil,Oil,January-December,"1,235,000,000","1,350,000,000","686,000,000","2,675,000,000","4,745,000,000",,"39,000,000",,"118,000,000","4,627,000,000","4,627,000,000","238,325,000","-168,582,000",,"20,631,700","20,631,700","82,132,000","163,299,900","-42,191,700","1,006,674,900",,,,"-101,159,600","-96,173,900"
ORE,"Oriental Peninsula Resources Group, Inc.",O,0.73,"2,878,500,005","2,101,305,004",Mining and Oil,Mining,January-December,"36,000,000","1,856,000,000","1,888,000,000","1,221,000,000","7,034,000,000",,"231,000,000",,"385,000,000","6,499,000,000","6,649,000,000","267,305,400","-400,973,600","-7,215,700","-466,131,800","-472,249,500","82,944,100","-116,121,100","-1,132,800","24,990,300",,"-1,606,334",,,"1,493,666"
OV,The Philodrill Corporation,O,0.011,"191,868,805,358","2,110,556,859",Mining and Oil,Oil,January-December,"416,000,000","768,000,000","472,000,000","887,000,000","3,544,000,000",,"40,000,000",,"75,000,000","3,469,000,000","3,469,000,000","192,315,100","-261,982,100","41,402,800","-238,165,400","-238,165,400","61,272,800","-146,407,200","-32,799,400","-70,902,900","-10,000,000",,,"-131,100","-10,131,100"
PA,"Pacifica Holdings, Inc.",O,4.63,"325,000,000","1,504,750,000",Holding Firms,Holding Firms,January-December,"807,400","24,885,800",,,"25,002,400",,"125,500",,"33,875,500","-8,873,100","-8,873,100",559,"1,067,500",,"-2,774,300","-2,774,300",,"3,830,802",,"-4,174,782",,0,,,0
PAL,"PAL Holdings, Inc.",O,7.5,"11,610,978,242","87,082,336,815",Services,Transportation Services,January-December,"9,130,000,000","45,086,000,000","254,217,000,000","11,776,000,000","329,829,000,000","50,338,000,000","109,531,000,000","189,704,000,000","322,176,000,000","-666,000,000","7,653,000,000","156,289,000,000","-1,356,000,000",,"-8,904,000,000","-8,232,000,000","21,307,000,000","20,887,000,000","-9,489,000,000","5,044,000,000","597,300,000","-28,780,000,000",,,"-22,788,000,000"
PAX,"Paxys, Inc.",O,2.88,"1,148,534,866","3,307,780,414",Services,Other Services,January-December,"3,810,000,000","3,877,000,000","47,000,000",,"3,934,000,000","14,000,000","45,000,000","24,000,000","82,000,000","3,851,000,000","3,851,000,000","82,952,000","-80,264,000",,"26,375,000","26,375,000","15,574,000","40,088,000","-1,713,000","737,631,000",,"-15,182,000",,,"-11,482,000"
PBB,Philippine Business Bank,O,12,"643,750,094","7,725,001,128",Financials,Banks,January-December,,,"472,000,000","13,567,000,000","108,586,000,000","2,454,000,000",,"3,000,000,000","95,900,000,000","12,685,000,000","12,685,000,000","6,818,000,000","1,688,000,000",,"1,273,000,000","1,273,000,000","82,000,000","4,910,497,800","-170,855,600","-6,336,407,300","3,974,000,000","-4,903,600,000",,"-198,000,000","-912,021,900"
PBC,Philippine Bank of Communications,O,20.5,"480,645,163","9,853,225,842",Financials,Banks,January-December,,,"2,642,000,000","16,810,000,000","94,423,000,000","303,000,000",,"9,390,000,000","83,328,000,000","11,095,000,000","11,095,000,000","5,427,000,000","1,304,000,000",0,"1,075,000,000","1,075,000,000","138,700,000","-11,714,000","-169,380,000","1,631,873,000","293,686,100,000","-297,977,800,000",,,"-3,202,297,000"
PCOR,Petron Corporation,O,4,"9,375,104,497","37,500,417,988",Industrial,"Electricity, Energy, Power & Water",January-December,"53,121,000,000","179,070,000,000","173,051,000,000","30,655,000,000","395,223,000,000","86,823,000,000","133,897,000,000","168,069,000,000","315,991,000,000","72,353,000,000","79,232,000,000","519,181,000,000","10,540,000,000","3,000,000","-3,490,000,000","-3,053,000,000","12,545,000,000","19,076,000,000","-18,248,000,000","-19,227,000,000","68,456,000,000","-188,712,000,000",0,"-3,917,000,000","30,007,000,000"
PCP,"PICOP Resources, Inc.",S,,"4,232,236,415","867,608,465",Industrial,Other Industrials,January-December,"4,600,000","1,610,500,000","2,441,600,000",,"4,356,300,000","567,000,000","4,806,100,000","248,700,000","5,318,300,000","-962,000,000","-962,000,000","957,100,000","-976,400,000",,"-1,722,600,000","-1,722,600,000","142,600,000","110,100,000","-102,900,000","-56,000,000","35,300,000","-91,700,000",,,"-56,400,000"
PERC,PetroEnergy Resources Corporation,O,4.15,"568,711,842","2,360,154,144",Industrial,"Electricity, Energy, Power & Water",January-December,"2,115,000,000","2,540,000,000","8,249,000,000","1,642,000,000","13,231,000,000","635,000,000","1,032,000,000","4,843,000,000","5,968,000,000","4,893,000,000","7,262,000,000","2,163,850,200","899,754,400","127,021,200","368,764,200","630,810,100","381,731,700","1,612,716,500","-618,038,300","-937,320,100","9,400,000","-626,380,951","-24,500,000","-400,000","-536,317,400"
PGOLD,"Puregold Price Club, Inc.",O,39.8,"2,884,232,615","114,792,458,077",Services,Retail,January-December,"8,584,000,000","32,031,000,000","40,805,000,000","611,000,000","95,823,000,000","907,000,000","7,310,000,000","26,414,000,000","34,200,000,000","61,622,000,000","61,622,000,000","150,913,000,000","8,882,000,000","14,000,000","6,455,000,000","6,455,000,000","3,310,000,000","12,503,000,000","-3,754,000,000","-3,682,000,000","416,400,000","-3,861,000,000",,"-1,148,000,000","-2,766,000,000"
PHA,Premiere Horizon Alliance Corporation,O,0.4,"1,990,480,889","796,192,356",Services,Other Services,January-December,"56,000,000","2,797,000,000","324,000,000",,"3,699,000,000","864,000,000","1,862,000,000","923,000,000","2,977,000,000","259,000,000","722,000,000","486,684,700","-152,737,600",,"-419,557,400","-516,244,900","132,067,000","-257,336,000","-235,362,100","30,596,900","114,870,000","-49,950,200",,,"199,957,300"
PHC,Philcomsat Holdings Corporation,S,1.4,"996,391,254","1,394,947,756",Services,Other Services,January-December,"258,000,000",,0,"981,000,000","1,478,000,000",,,,"30,000,000","1,448,000,000","1,448,000,000","55,869,800","26,191,200",,"26,580,900","26,580,900","-200,000","58,614,000","-249,100","-144,640,500","-2,600,000",,,,"1,372,500"
PHES,Philippine Estates Corporation,O,0.405,"1,445,549,830","585,447,681",Property,Property,January-December,"43,000,000","1,261,000,000","41,000,000","14,000,000","1,625,000,000","63,000,000","305,000,000","28,000,000","531,000,000","1,094,000,000","1,094,000,000","263,607,600","24,142,200",,"22,098,100","22,098,100","4,964,600","-13,796,000","4,028,800","71,311,500","78,989,200","-77,094,200",,,"-25,950,200"
PHN,Phinma Corporation,O,9.95,"272,588,765","2,712,258,212",Industrial,"Construction, Infra. & Allied Services",January-December,"4,345,000,000","8,622,000,000","7,678,000,000","2,117,000,000","20,458,000,000","1,141,000,000","4,393,000,000","7,172,000,000","12,282,000,000","6,824,000,000","8,176,000,000","11,343,000,000","1,036,000,000","-98,000,000","74,000,000","259,000,000","328,957,000","992,383,000","-2,918,558,000","-3,774,838,000","693,310,000","-105,475,000","-14,252,000","-173,456,000","1,304,423,000"
PHR,"PH Resorts Group Holdings, Inc.",O,4.9,"4,793,266,504","23,487,005,870",Services,Casinos & Gaming,January-December,"39,000,000","1,796,000,000","6,987,000,000","898,000,000","10,645,000,000","3,887,000,000","7,992,000,000","2,123,000,000","10,278,000,000","367,000,000","367,000,000","132,247,900","-283,428,500",,"-486,575,300","-486,575,300",,,,,,,,,
PIP,"Pepsi-Cola Products Philippines, Inc.",O,1.85,"3,693,772,279","6,833,478,716",Industrial,"Food, Beverage & Tobacco",January-December,"471,000,000","8,605,000,000","16,874,000,000","630,000,000","26,437,000,000","2,942,000,000","11,396,000,000","3,813,000,000","17,070,000,000","9,367,000,000","9,367,000,000","35,373,000,000","808,000,000","15,000,000","323,000,000","323,000,000","2,702,000,000","2,566,000,000","-2,828,000,000","-2,829,000,000","4,023,000,000","-513,000,000",,"-163,000,000","228,000,000"
PIZZA,"SHAKEY'S PIZZA ASIA VENTURES, INC.",O,9.5,"1,531,321,053","14,547,550,004",Industrial,"Food, Beverage & Tobacco",January-December,"303,000,000","1,654,000,000","2,081,000,000",,"10,617,000,000","698,000,000","1,515,000,000","3,812,000,000","5,606,000,000","5,011,000,000","5,011,000,000","7,986,000,000","1,313,000,000",,"899,000,000","899,000,000","264,939,400","900,900,800","-1,247,964,500","-1,151,416,200",0,"-25,090,400",,"-306,264,200","285,253,500"
PLC,Premium Leisure Corp.,O,0.56,"31,598,931,000","17,695,401,360",Services,Casinos & Gaming,January-December,"3,025,000,000","7,612,000,000","343,000,000","637,000,000","19,722,000,000","49,000,000","2,108,000,000","19,000,000","2,168,000,000","16,969,000,000","17,555,000,000","4,358,000,000","1,859,000,000",,"2,216,000,000","2,120,000,000","452,836,300","3,160,168,500","-251,618,100","-2,312,417,500",,"-10,684,500","120,865,600","-1,566,162,300","480,874,600"
PMPC,Panasonic Manufacturing Philippines Corporation,O,5.37,"422,718,020","2,269,995,767",Industrial,Electrical Components & Equipment,April-March,"3,740,000,000","6,618,000,000","1,061,000,000","5,000,000","7,823,000,000","1,000,000","2,707,000,000","40,000,000","3,260,000,000","4,490,000,000","4,563,000,000","11,888,000,000","422,000,000",,"213,000,000","213,000,000","222,572,300","1,017,951,700","-382,060,500","-334,813,000","40,135,000","-1,345,500",,"-88,767,500","-90,113,000"
PMT,"Primetown Property Group, Inc.",S,,"865,824,000","320,354,880",Property,Property,January-December,,"351,887,000,000",,,"327,700,000",,"1,149,393,000,000",,"1,115,800,000","-788,100,000","-788,100,000",0,,,"-4,837,000,000","-4,837,000,000",,"-22,000,000",0,0,,,,,0
PNB,Philippine National Bank,O,31.2,"1,525,764,850","47,603,863,320",Financials,Banks,January-December,,,"21,438,000,000","257,303,000,000","1,179,490,000,000",,,"169,399,000,000","1,027,542,000,000","149,023,000,000","151,948,000,000","47,183,000,000","9,940,000,000","6,000,000","8,496,000,000","8,583,000,000","643,000,000","10,743,000,000","-3,617,000,000","-213,010,000,000","121,179,800,000","-93,437,400,000",,,"251,672,000,000"
PNC,Philippine National Construction Corporation,S,4.9,"174,444,759","854,779,319",Industrial,"Construction, Infra. & Allied Services",January-December,"664,100,000","1,093,100,000","11,446,000,000","927,000,000","13,744,500,000",,"9,315,700,000",,"12,899,300,000","845,300,000","845,300,000","223,555,400","115,033,700","93,420,000","746,414,800","746,414,800","1,700,000","200,156,900","-444,400","105,438,700",,,"-566,300,000",,"-566,300,000"
PNX,"Phoenix Petroleum Philippines, Inc.",O,11.96,"1,406,204,232","16,818,202,615",Industrial,"Electricity, Energy, Power & Water",January-December,"7,456,000,000","29,753,000,000","23,927,000,000","3,159,000,000","68,645,000,000","35,539,000,000","38,489,000,000","12,134,000,000","52,897,000,000","15,786,000,000","15,748,000,000","96,816,000,000","4,271,000,000","27,000,000","2,265,000,000","2,242,000,000","1,332,000,000","24,579,000,000","-11,864,000,000","-16,051,000,000","10,466,500,000","-25,407,300,000","-559,000,000","-503,000,000","-3,909,000,000"
PORT,"Globalport 900, Inc.",S,7.3,"2,156,049,400","15,739,160,620",Services,Transportation Services,January-December,,"693,500,000",,,"5,925,000,000",,"355,600,000",,"1,277,000,000","3,894,000,000","4,648,000,000","1,357,287,200",,,"416,881,600","416,881,600","120,133,333","336,472,000","-175,370,533","-144,984,000",,,,,"-184,701,467"
PPC,Pryce Corporation,O,4.7,"1,985,641,269","9,332,513,964",Industrial,Chemicals,January-December,"2,019,000,000","4,367,000,000","7,544,000,000","115,000,000","12,278,000,000","1,291,000,000","2,461,000,000",,"3,289,000,000","8,503,000,000","8,989,000,000","10,588,000,000","1,620,000,000",,"1,374,000,000","1,495,000,000","403,910,800","1,443,825,200","-1,314,961,300","-1,368,451,400","1,076,000,000","-1,323,800,000","-78,394,600","-531,389,000","-418,913,100"
PRC,"Philippine Racing Club, Inc.",O,8.85,"546,627,296","4,837,651,570",Services,Casinos & Gaming,January-December,"656,000,000","2,946,000,000","427,000,000","1,960,000,000","6,133,000,000","119,000,000","842,000,000","871,000,000","2,256,000,000","3,885,000,000","3,877,000,000","1,994,000,000","1,084,000,000",,"601,000,000","601,000,000","80,283,500","780,889,100","-8,080,400","89,578,300",,"-449,423,273","-80,200","-37,150,800","-586,591,500"
PRIM,"Prime Media Holdings, Inc.",O,1.23,"700,298,616","861,367,298",Holding Firms,Holding Firms,January-December,"2,301,500",,"1,000,600","500,000","43,580,000",,,,"186,847,500","-143,267,600","-143,267,600","1,482,100","15,634,300",,"25,015,800","25,015,800","285,859","-29,155,800","-54,400","-24,950,700","13,900,000",,,,"13,880,000"
PRMX,Primex Corporation,O,2.24,"1,661,666,665","3,722,133,330",Property,Property,January-December,"14,000,000","1,984,000,000","8,000,000","84,000,000","2,175,000,000","290,000,000","1,193,000,000","2,000,000","1,223,000,000","953,000,000","953,000,000","142,366,000","31,120,400",,"36,722,900","36,722,900","5,073,300","-154,332,900","-3,921,600","-4,092,000","132,000,000",,,"-43,203,300","48,796,700"
PSB,Philippine Savings Bank,O,59.2,"383,109,416","22,680,077,427",Financials,Banks,January-December,,,"3,357,000,000","44,517,000,000","231,967,000,000","4,377,000,000",,"7,704,000,000","197,491,000,000","34,477,000,000","34,477,000,000","17,285,000,000","2,443,000,000","111,000,000","2,807,000,000","2,807,000,000","426,000,000","5,333,000,000","-522,000,000","-5,026,000,000","87,841,000,000","-89,365,000,000",,"-1,041,000,000","-3,763,000,000"
PSE,"The Philippine Stock Exchange, Inc.",O,172,"81,825,812","14,074,039,664",Financials,Other Financial Institutions,January-December,"3,943,000,000","4,174,000,000","1,418,000,000","856,000,000","6,762,000,000",,"701,000,000",,"1,415,000,000","5,347,000,000","5,347,000,000","1,510,224,700","817,185,100","57,134,000","841,421,500","841,421,500","159,171,100","1,129,150,100","-19,179,400","-184,909,600",,,,"-747,998,300","-817,310,400"
PTC,Philippine Trust Company,O,110,"1,000,000,000","110,000,000,000",Financials,Banks,January-December,,,"2,760,000,000","87,556,000,000","159,107,000,000","197,000,000",,,"133,397,000,000","25,709,000,000","25,709,000,000","6,571,000,000","867,000,000",,"325,000,000","325,000,000","36,000,000","-2,329,000,000","-142,000,000","8,488,000,000",,,,,"-767,000,000"
PTT,Philippine Telegraph and Telephone Corporation,S,,"1,500,000,000","263,999,580",Services,Telecommunications,January-December,"7,566,000","77,988,000","528,341,000","235,795,000","879,765,000",,"1,346,494,000","1,623,000","1,648,973,000","-769,208,000","-769,208,000","324,475,600","-54,901,700",,"-108,981,500","-108,981,500","23,388,000","18,911,000","-38,009,200","-38,009,200",,,,,"89,321,700"
PX,Philex Mining Corporation,O,2.95,"4,940,399,068","14,574,177,251",Mining and Oil,Mining,January-December,"280,000,000","3,924,000,000","4,915,000,000","4,549,000,000","40,483,000,000","2,644,000,000","5,388,000,000","7,624,000,000","16,371,000,000","24,113,000,000","24,112,000,000","6,017,000,000","647,000,000","-46,000,000","478,000,000","478,000,000","1,789,864,000","311,763,000","-2,424,152,000","-877,310,000","1,033,800,000","-926,300,000",,"22,159,000","637,301,000"
PXP,PXP Energy Corporation,O,8.93,"1,960,000,000","17,502,800,000",Mining and Oil,Oil,January-December,"269,000,000","337,000,000","257,000,000",,"8,094,000,000",,"766,000,000","8,000,000","2,080,000,000","3,631,000,000","6,014,000,000","53,186,000","-89,027,000",,"-56,893,000","-69,157,000","19,407,000","-4,362,000","-51,855,000","-50,861,000",,"-2,156,800,000",,,"-506,000"
RCB,Rizal Commercial Banking Corporation,O,22,"1,935,628,896","42,583,835,712",Financials,Banks,January-December,,,"10,608,000,000","128,794,000,000","670,676,000,000","1,241,000,000",,"139,691,000,000","585,988,000,000","84,668,000,000","84,688,000,000","37,326,000,000","7,543,000,000","14,000,000","5,623,000,000","5,624,000,000","599,000,000","13,368,000,000","-2,126,000,000","-48,463,000,000","-18,139,000,000","-27,565,000,000","-26,000,000","-865,000,000","44,998,000,000"
RCI,"Roxas and Company, Inc.",O,1.76,"2,053,579,530","3,614,299,973",Industrial,"Food, Beverage & Tobacco",January-December,"50,000,000",,"3,702,000,000","5,272,000,000","12,712,000,000","1,810,000,000",,"2,237,000,000","4,954,000,000","7,473,000,000","7,757,000,000","806,775,000","-424,303,000","-176,681,000","185,994,000","90,267,000","58,300,000","-117,310,000","-15,448,000","-107,877,000","158,000,000","-249,468,000",,"-31,190,000","229,283,000"
REG,Republic Glass Holdings Corporation,O,2.72,"682,065,632","1,855,218,519",Holding Firms,Holding Firms,January-December,"1,353,000,000",,"4,000,000","564,000,000","1,935,000,000",,,,"155,000,000","1,781,000,000","1,781,000,000","82,878,000","69,864,000",,"73,526,000","73,526,000","2,602,000","21,402,000","-170,000","67,416,000",,,,"-50,069,000","-50,069,000"
RFM,RFM Corporation,O,5.24,"3,456,462,158","18,111,861,708",Industrial,"Food, Beverage & Tobacco",January-December,"2,940,000,000","6,889,000,000","7,707,000,000","926,000,000","17,985,000,000","1,075,000,000","4,921,000,000","600,000,000","6,157,000,000","11,857,000,000","11,828,000,000","15,042,000,000","1,642,000,000","12,200,000","1,187,000,000","1,185,000,000","513,772,000","1,834,682,000","-640,726,000","-974,485,000","69,258,800,000","-69,393,200,000","-45,758,000","-750,229,000","-373,027,000"
RLC,Robinsons Land Corporation,O,28.3,"5,193,830,685","146,985,408,386",Property,Property,January-December,"10,393,000,000",,"8,331,000,000","102,514,000,000","176,052,000,000","6,633,000,000",,"34,738,000,000","77,899,000,000","97,590,000,000","98,153,000,000","38,979,000,000","11,881,000,000","-30,000,000","8,979,000,000","8,979,000,000","2,339,400,000","7,875,000,000","4,870,000,000","-16,323,000,000","106,000,000","-2,132,300,000",,"-79,000,000","2,249,000,000"
RLT,Philippine Realty and Holdings Corporation,O,0.365,"4,922,324,907","1,796,648,591",Property,Property,January-December,"172,000,000",,"116,000,000","1,802,000,000","5,538,000,000","386,000,000",,"827,000,000","1,835,000,000","3,708,000,000","3,703,000,000","1,766,477,300","610,710,300","-6,330,100","422,973,500","422,241,700","12,778,183","-159,369,500","-6,672,200","-157,818,300","686,578,545","-407,752,880",,,"439,536,000"
ROCK,Rockwell Land Corporation,O,2.08,"6,116,762,198","12,722,865,372",Property,Property,January-December,"2,959,000,000",,"5,224,000,000","14,245,000,000","58,587,000,000","6,986,000,000",,"17,028,000,000","37,690,000,000","20,330,000,000","20,897,000,000","14,708,000,000","3,770,000,000","297,000,000","2,917,000,000","2,901,000,000","584,600,000","6,547,000,000","-1,499,000,000","-4,264,000,000","8,884,000,000","-5,455,000,000",,"-501,000,000","-650,000,000"
ROX,"Roxas Holdings,  Inc.",O,1.76,"1,547,935,799","2,724,367,006",Industrial,"Food, Beverage & Tobacco",October-September,"438,000,000","11,540,000,000","8,486,000,000","514,000,000","21,917,000,000","7,564,000,000","9,357,000,000","2,722,000,000","12,753,000,000","9,109,000,000","9,164,000,000","4,326,000,000","-907,000,000","29,000,000","-1,760,000,000","-1,767,000,000","347,337,000","1,271,478,000","17,545,000","29,120,000","-9,900,000","516,000",,,"-1,149,486,000"
RRHI,"Robinsons Retail Holdings, Inc.",O,79,"1,576,489,360","124,542,659,440",Services,Retail,January-December,"10,543,000,000","37,128,000,000","42,286,000,000","23,597,000,000","125,302,000,000","4,801,000,000","24,927,000,000","22,002,000,000","49,558,000,000","71,281,000,000","75,744,000,000","157,022,000,000","5,522,000,000","141,000,000","4,149,000,000","4,848,000,000","5,740,000,000","10,651,000,000","-3,735,000,000","195,000,000","6,664,732,534","-5,700,000,000",,"-1,490,000,000","-7,786,000,000"
RWM,"Travellers International Hotel Group, Inc. ",S,5.42,"15,755,874,850","85,396,841,687",Services,Casinos & Gaming,January-December,"10,427,000,000","18,202,000,000","81,698,000,000","5,810,000,000","112,524,000,000","8,071,000,000","17,986,000,000","41,690,000,000","66,211,000,000","46,100,000,000","46,313,000,000","23,138,000,000","-201,000,000","463,000,000","598,000,000","593,000,000","2,737,000,000","100,000,000","-10,764,000,000","-11,363,000,000","34,906,200,000","-24,500,000,000",,"-187,000,000","13,720,000,000"
SBS,SBS Philippines Corporation,O,9.19,"1,549,999,999","14,244,499,991",Services,Other Services,January-December,"1,213,000,000","4,251,000,000","95,000,000","3,233,000,000","8,267,000,000","1,343,000,000","1,372,000,000","1,200,000,000","3,304,000,000","4,905,000,000","4,963,000,000","1,234,151,500","188,357,200","123,870,800","185,536,300","184,096,800","22,786,700","-2,318,060,100","-100,557,300","55,302,700","800,000,000","-870,000,000",,"-34,100,000","2,191,075,700"
SCC,Semirara Mining and Power Corporation,O,22,"4,250,547,620","93,512,047,640",Mining and Oil,Mining,January-December,"5,377,000,000","27,685,000,000","44,684,000,000",,"73,488,000,000","11,622,000,000","21,880,000,000","8,111,000,000","30,697,000,000","42,791,000,000","42,791,000,000","45,234,000,000","11,522,000,000",,"11,708,000,000","11,708,000,000","7,813,000,000","17,918,000,000","-9,781,000,000","-7,874,000,000","6,697,400,000","-5,001,700,000",0,"-9,564,000,000","-7,038,000,000"
