CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
JFC,Jollibee Foods Corporation,O,217,1097102930,238071335810,Industrial,"Food, Beverage & Tobacco",January-December,"24,005,000,000","44,641,000,000","31,181,000,000","5,536,000,000","140,742,000,000","25,167,000,000","57,351,000,000","23,148,000,000","87,267,000,000","52,016,000,000","53,475,000,000","173,563,000,000","7,381,000,000","58,000,000","6,775,000,000","6,506,000,000","6,101,000,000","10,527,000,000","-10,207,000,000","-28,722,000,000","1,408,000,000","-4,573,000,000",,"-2,785,000,000","16,813,000,000"
JGS,"JG Summit Holdings, Inc.",O,77,"7,162,841,657","551,538,807,589",Holding Firms,Holding Firms,January-December,"78,424,000,000","206,381,000,000","268,831,000,000","278,278,000,000","874,378,000,000","53,349,000,000","208,809,000,000","227,811,000,000","480,262,000,000","298,954,000,000","394,116,000,000","300,611,000,000","40,253,000,000","13,390,000,000","26,622,000,000","37,122,000,000","27,579,000,000","49,039,000,000","-56,115,000,000","-73,976,000,000","46,260,200,000","-47,887,000,000","-256,000,000","-2,665,000,000","10,984,000,000"
JOH,Jolliville Holdings Corporation,O,6.72,"281,500,000","1,891,680,000",Holding Firms,Holding Firms,January-December,"183,000,000",,"4,014,000,000","1,242,000,000","6,135,000,000","809,000,000",,"1,339,000,000","3,648,000,000","1,804,000,000","2,487,000,000","1,038,394,500","135,613,200","-55,000","54,562,300","36,751,700","81,423,334","-314,295,500","-457,704,500","518,001,900","-487,408,022","-8,013,693",,,"-423,715,100"
KEP,"Keppel Philippines Properties, Inc.",O,4,"293,828,900","1,175,315,600",Property,Property,January-December,"120,000,000","233,000,000","26,000,000","1,207,000,000","1,468,000,000","4,000,000","98,000,000","8,000,000","106,000,000","1,362,000,000","1,362,000,000","13,325,900","64,748,500","-57,206,000","-110,945,100","-110,945,100","4,372,800","-21,227,100","-9,703,100","-10,982,200",,0,,,"-1,695,700"
KPH-AB,"Keppel Philippines Holdings, Inc.",O,5.35,"57,794,119","309,198,537",Holding Firms,Holding Firms,January-December,"56,000,000",,0,"241,000,000","1,028,000,000",,,,"17,000,000","646,000,000","1,011,000,000","53,064,900","20,302,200","8,807,000","17,367,800","25,771,300","140,688","27,819,500","-235,400","4,564,600",,,,"-40,304,300","-30,650,300"
KPPI,"Kepwealth Property Phils., Inc.",O,10.2,"201,057,609","2,050,787,612","Small, Medium & Emerging Board","Small, Medium & Emerging Board",January-December,,,,,,,,,,,,,,,,,,,,,,,,,
LAND,"City & Land Developers, Incorporated",O,0.75,"1,431,785,284","1,073,838,963",Property,Property,January-December,"468,000,000",,,"671,000,000","2,515,000,000","193,000,000",,,"387,000,000","2,127,000,000","2,127,000,000","579,328,500","217,724,000",,"183,372,500","183,372,500",,"-571,107,200",,"156,655,800","682,950,000","-225,050,000",,"-56,569,500","384,032,500"
LBC,"LBC Express Holdings, Inc.",O,13.86,"1,425,865,471","19,762,495,428",Services,Transportation Services,January-December,"4,534,000,000","8,193,000,000","3,938,000,000","626,000,000","14,336,000,000","953,000,000","5,294,000,000","2,867,000,000","10,875,000,000","3,434,000,000","3,461,000,000","14,974,000,000","1,379,000,000","30,000,000","593,000,000","555,000,000","1,050,582,300","1,643,303,800","-1,028,203,800","104,414,900","266,600,000","-50,330,400",,"-55,798,400","-715,286,400"
LC-AB,Lepanto Consolidated Mining Company,O,0.0975,"66,375,758,097","6,471,636,414",Mining and Oil,Mining,January-December,"42,000,000","1,739,000,000","6,956,000,000","740,000,000","16,665,000,000","222,000,000","1,925,000,000",,"9,426,000,000","6,998,000,000","7,239,000,000","2,199,755,000","-875,230,000","1,411,000","-906,995,000","-905,254,000","827,631,000","204,518,000","-195,966,000","-161,361,000","27,100,000","-42,400,000","-1,000",,"-4,632,000"
LFM,"Liberty Flour Mills, Inc.",O,42,"150,000,000","6,300,000,000",Industrial,"Food, Beverage & Tobacco",January-December,"339,000,000","1,219,000,000","730,000,000","1,666,000,000","3,679,000,000",,"159,000,000","759,000,000","1,016,000,000","2,663,000,000","2,663,000,000","845,729,400","-37,073,200",,"123,471,800","123,471,800","41,124,600","128,804,100","139,308,600","63,077,500","8,000,000","-6,000,000",,"-111,466,200","-114,466,200"
LIHC,Lodestar Investment Holdings Corporation,O,0.5,"3,000,000,000","1,500,000,000",Holding Firms,Holding Firms,January-December,"235,113,700","240,205,700",,,"240,205,700",,"15,600",,"15,600","240,190,000","240,190,000",,"1,999,800",,"-225,900","-225,900",,"-1,392,149",,"2,200,206","-500,000",,,,0
LMG,LMG Chemicals Corporation,O,4.9,"193,544,176","948,366,462",Industrial,Chemicals,January-December,"186,750,600","187,324,700",,,"187,324,700",,"39,500",,"39,500","187,285,200","187,285,200",,"2,045,900",,"5,163,900","5,163,900",,"3,529,415",,,,,,,
LOTO,Pacific Online Systems Corporation,O,2.72,"895,330,946","2,435,300,173",Services,Casinos & Gaming,January-December,"527,000,000","997,000,000","313,000,000","403,000,000","1,889,000,000","30,000,000","342,000,000","8,000,000","383,000,000","1,501,000,000","1,507,000,000","1,145,927,500","-174,577,400",,"-189,191,600","-190,993,700","219,808,800","204,866,300","-235,802,200","-263,448,900","-3,317,100","-10,684,500","155,035,600","-85,733,400","-101,527,700"
LPZ,Lopez Holdings Corporation,O,3.71,"4,557,739,611","16,909,213,957",Holding Firms,Holding Firms,January-December,"45,580,000,000","116,148,000,000","136,014,000,000","62,512,000,000","392,792,000,000","24,609,000,000","64,462,000,000","112,204,000,000","192,474,000,000","71,944,000,000","200,318,000,000","133,968,000,000","31,732,000,000","1,996,000,000","8,043,000,000","26,133,000,000","13,284,000,000","51,255,000,000","-10,390,000,000","-16,292,000,000","16,396,000,000","-33,284,000,000","-14,656,000,000","-469,000,000","-37,467,000,000"
LR,Leisure & Resorts World Corporation,O,2.75,"2,417,500,000","6,648,125,000",Services,Casinos & Gaming,January-December,"2,581,000,000","4,218,000,000","1,560,000,000","12,664,000,000","20,943,000,000","1,213,000,000","3,285,000,000","3,368,000,000","7,543,000,000","12,919,000,000","13,400,000,000","10,434,000,000","-74,000,000","175,000,000","247,000,000","248,000,000","468,399,000","-500,280,100","-433,697,400","-399,250,700","870,500,000","-442,800,000","1,005,900","-121,259,100","3,197,751,300"
LSC,Lorenzo Shipping Corporation,O,0.95,"554,642,251","526,910,138",Services,Transportation Services,January-December,"43,000,000","1,528,000,000","1,348,000,000",,"2,894,000,000","641,000,000","2,063,000,000","337,000,000","2,493,000,000","402,000,000","402,000,000","2,863,613,000","-90,246,800",,"-120,289,600","-120,289,600","217,047,800","56,416,200","-129,881,900","100,167,700","54,879,200","-202,042,200",,,"-252,563,000"
LTG,"LT Group, Inc.",O,10.2,"10,821,388,889","110,378,166,668",Holding Firms,Holding Firms,January-December,"287,688,000,000","605,241,000,000","70,158,000,000","241,656,000,000","1,301,062,000,000","6,122,000,000","905,698,000,000","70,195,000,000","1,054,129,000,000","178,873,000,000","246,933,000,000","89,958,000,000","12,727,000,000","10,639,000,000","18,047,000,000","22,377,000,000","4,949,000,000","72,193,000,000","-6,879,000,000","-108,097,000,000","172,361,400,000",0,,"-3,246,000,000","93,993,000,000"
MA-AB,Manila Mining Corporation,O,0.00805,"259,586,788,703","2,089,673,649",Mining and Oil,Mining,January-December,"3,000,000","83,000,000","116,000,000","16,000,000","3,171,000,000",,"166,000,000",,"236,000,000","2,935,000,000","2,936,000,000",0,"-6,875,700",,"-11,930,900","-11,930,900","2,105,398","30,168,522","48,068,522","-40,998,407","-18,971,448",,"-300,000",,"46,124"
MAC,MacroAsia Corporation,O,12.16,"1,577,366,093","19,180,771,691",Services,Transportation Services,January-December,"992,000,000","3,219,000,000","2,982,000,000","2,068,000,000","11,864,000,000","298,000,000","1,966,000,000","3,809,000,000","6,083,000,000","5,368,000,000","5,780,000,000","5,582,000,000","341,000,000","1,040,000,000","1,120,000,000","1,186,000,000","245,959,500","940,589,900","-786,588,500","-826,749,500","253,980,000","-25,169,600","-221,928,300","-329,970,100","-122,446,000"
